entity_id,label
0,GO_0000086_instance
1,GO_0000118_instance
2,GO_0000151_instance
3,GO_0000209_instance
4,GO_0000228_instance
5,GO_0000281_instance
6,GO_0000313_instance
7,GO_0000323_instance
8,GO_0000775_instance
9,GO_0000776_instance
10,GO_0000779_instance
11,GO_0000785_instance
12,GO_0000793_instance
13,GO_0000910_instance
14,GO_0000922_instance
15,GO_0001932_instance
16,GO_0002682_instance
17,GO_0002831_instance
18,GO_0003677_instance
19,GO_0003697_instance
20,GO_0005654_instance
21,GO_0005667_instance
22,GO_0005681_instance
23,GO_0005684_instance
24,GO_0005694_instance
25,GO_0005737_instance
26,GO_0005759_instance
27,GO_0005761_instance
28,GO_0005764_instance
29,GO_0005765_instance
30,GO_0005768_instance
31,GO_0005769_instance
32,GO_0005774_instance
33,GO_0005783_instance
34,GO_0005793_instance
35,GO_0005819_instance
36,GO_0005840_instance
37,GO_0005874_instance
38,GO_0005938_instance
39,GO_0006091_instance
40,GO_0006281_instance
41,GO_0006302_instance
42,GO_0006351_instance
43,GO_0006354_instance
44,GO_0006366_instance
45,GO_0006368_instance
46,GO_0006397_instance
47,GO_0006403_instance
48,GO_0006470_instance
49,GO_0006888_instance
50,GO_0006913_instance
51,GO_0006952_instance
52,GO_0006996_instance
53,GO_0006997_instance
54,GO_0007015_instance
55,GO_0007032_instance
56,GO_0007346_instance
57,GO_0008064_instance
58,GO_0008150_instance
59,GO_0008154_instance
60,GO_0008380_instance
61,GO_0009060_instance
62,GO_0009615_instance
63,GO_0009892_instance
64,GO_0009894_instance
65,GO_0009895_instance
66,GO_0010256_instance
67,GO_0010389_instance
68,GO_0010468_instance
69,GO_0010494_instance
70,GO_0010564_instance
71,GO_0010948_instance
72,GO_0010970_instance
73,GO_0010972_instance
74,GO_0015031_instance
75,GO_0015630_instance
76,GO_0015931_instance
77,GO_0015980_instance
78,GO_0016032_instance
79,GO_0016050_instance
80,GO_0016071_instance
81,GO_0016192_instance
82,GO_0016567_instance
83,GO_0016604_instance
84,GO_0016605_instance
85,GO_0016925_instance
86,GO_0019787_instance
87,GO_0022402_instance
88,GO_0022411_instance
89,GO_0030029_instance
90,GO_0030036_instance
91,GO_0030097_instance
92,GO_0030099_instance
93,GO_0030135_instance
94,GO_0030496_instance
95,GO_0030832_instance
96,GO_0031109_instance
97,GO_0031252_instance
98,GO_0031347_instance
99,GO_0031410_instance
100,GO_0031461_instance
101,GO_0031625_instance
102,GO_0031981_instance
103,GO_0032101_instance
104,GO_0032153_instance
105,GO_0032154_instance
106,GO_0032271_instance
107,GO_0032535_instance
108,GO_0032774_instance
109,GO_0032956_instance
110,GO_0032970_instance
111,GO_0032984_instance
112,GO_0033036_instance
113,GO_0033116_instance
114,GO_0033554_instance
115,GO_0034976_instance
116,GO_0035091_instance
117,GO_0035556_instance
118,GO_0035770_instance
119,GO_0036464_instance
120,GO_0042953_instance
121,GO_0043226_instance
122,GO_0043231_instance
123,GO_0043232_instance
124,GO_0043254_instance
125,GO_0043484_instance
126,GO_0043933_instance
127,GO_0044389_instance
128,GO_0044770_instance
129,GO_0044772_instance
130,GO_0044839_instance
131,GO_0044872_instance
132,GO_0045087_instance
133,GO_0045088_instance
134,GO_0045333_instance
135,GO_0045637_instance
136,GO_0045786_instance
137,GO_0045930_instance
138,GO_0046785_instance
139,GO_0046907_instance
140,GO_0048193_instance
141,GO_0048523_instance
142,GO_0050657_instance
143,GO_0050658_instance
144,GO_0050684_instance
145,GO_0050776_instance
146,GO_0050794_instance
147,GO_0051028_instance
148,GO_0051128_instance
149,GO_0051168_instance
150,GO_0051169_instance
151,GO_0051234_instance
152,GO_0051236_instance
153,GO_0051252_instance
154,GO_0051258_instance
155,GO_0051301_instance
156,GO_0051493_instance
157,GO_0051607_instance
158,GO_0051648_instance
159,GO_0051649_instance
160,GO_0051650_instance
161,GO_0051656_instance
162,GO_0051707_instance
163,GO_0051726_instance
164,GO_0060284_instance
165,GO_0061024_instance
166,GO_0061640_instance
167,GO_0061659_instance
168,GO_0065003_instance
169,GO_0070822_instance
170,GO_0070936_instance
171,GO_0070971_instance
172,GO_0071013_instance
173,GO_0071705_instance
174,GO_0071782_instance
175,GO_0071944_instance
176,GO_0072384_instance
177,GO_0072657_instance
178,GO_0072659_instance
179,GO_0080090_instance
180,GO_0090148_instance
181,GO_0090575_instance
182,GO_0097190_instance
183,GO_0097193_instance
184,GO_0097435_instance
185,GO_0098588_instance
186,GO_0098590_instance
