model,input,normalization,version,balanced_accuracy,precision,recall,f1,mcc,auroc,auprc,brier
pytorch_mlp,Complex_protein_embeddings,none,v2.10,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.8732057416267942,0.961683763066893,0.17370058316999118
pytorch_mlp,Complex_sample_embeddings,none,v2.10,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.5358851674641147,0.778557174340146,0.17825141278192294
pytorch_mlp,concatenated_protein_embeddings,none,v2.10,0.5,0.0,0.0,0.0,0.0,0.5,0.7755102040816326,0.7755102040816326
pytorch_mlp,concatenated_sample_embeddings,none,v2.10,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.5,0.7755102040816326,0.22448979591836735
pytorch_mlp,gene_expression,none,,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.7296650717703349,0.9205115284850455,0.1716729098296907
pytorch_mlp,RGCN_protein_embeddings,none,v2.10,0.5,0.0,0.0,0.0,0.0,0.5,0.7755102040816326,0.7755102040816326
pytorch_mlp,RGCN_sample_embeddings,none,v2.10,0.4868421052631579,0.7708333333333334,0.9736842105263158,0.8604651162790697,-0.07765759302467444,0.4868421052631579,0.7709564088793412,0.24489795918367346
random_forest,Complex_protein_embeddings,none,v2.10,0.9090909090909092,0.95,1.0,0.9743589743589743,0.881630720467888,0.992822966507177,0.9979214778383754,0.05088731521460718
random_forest,Complex_sample_embeddings,none,v2.10,0.4868421052631579,0.7708333333333334,0.9736842105263158,0.8604651162790697,-0.07765759302467444,0.47129186602870815,0.7564420617580035,0.18717209442409624
random_forest,concatenated_protein_embeddings,none,v2.10,0.9090909090909092,0.95,1.0,0.9743589743589743,0.881630720467888,1.0,1.0,0.05043873082704477
random_forest,concatenated_sample_embeddings,none,v2.10,0.4868421052631579,0.7708333333333334,0.9736842105263158,0.8604651162790697,-0.07765759302467444,0.46411483253588515,0.7916293338970991,0.1969916762737444
random_forest,gene_expression,none,,0.6818181818181819,0.8444444444444444,1.0,0.9156626506024096,0.554139609729089,0.9808612440191388,0.9945308153588,0.09457250681403051
random_forest,RGCN_protein_embeddings,none,v2.10,0.6100478468899522,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.30338097731873215,0.6590909090909091,0.843936611767736,0.16494963177323782
random_forest,RGCN_sample_embeddings,none,v2.10,0.5059808612440191,0.7777777777777778,0.9210526315789473,0.8433734939759037,0.018228276635825297,0.6447368421052632,0.8172923034244377,0.17372894262268715
sklearn_mlp,Complex_protein_embeddings,none,v2.10,0.9090909090909092,0.95,1.0,0.9743589743589743,0.881630720467888,0.9904306220095693,0.9972804521973497,0.052657103392135626
sklearn_mlp,Complex_sample_embeddings,none,v2.10,0.4605263157894737,0.7608695652173914,0.9210526315789473,0.8333333333333334,-0.13739984911006672,0.4736842105263158,0.776043396015326,0.23032877048719552
sklearn_mlp,concatenated_protein_embeddings,none,v2.10,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.5,0.7755102040816326,0.22448979591836735
sklearn_mlp,concatenated_sample_embeddings,none,v2.10,0.5,0.7755102040816326,1.0,0.8735632183908046,0.0,0.5,0.7755102040816326,0.22448979591836735
