"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03040","Spliceosome",30,0.727040086773932,2.58285776900371,1.96511009859412e-08,2.79045634000365e-06,1.8409978818408e-06,298,"tags=77%, list=23%, signal=60%","22938/6631/6428/6426/79753/8896/6625/22916/7307/3183/83443/7536/57187/9343/79228/56259/5093/10286/988/10285/25949/26121/11157"
"hsa03013","Nucleocytoplasmic transport",18,0.761580506232671,2.34689379536961,1.83790013387526e-06,0.000130490909505143,8.60911115341569e-05,136,"tags=61%, list=11%, signal=55%","23511/53371/7341/8021/22916/1434/10921/51068/57187/10762/79228"
"hsa04932","Non-alcoholic fatty liver disease",24,-0.647359058965685,-2.15132270377113,3.03388269968466e-05,0.00143603781118407,0.000947423018498018,187,"tags=62%, list=15%, signal=54%","4731/841/51079/7388/998/1337/3953/3551/126328/29796/4296/1347/7384/27089/6392"
"hsa04810","Regulation of actin cytoskeleton",23,-0.664479628522472,-2.17339016993847,5.55478264366776e-05,0.00197194783850206,0.00130098856654324,308,"tags=70%, list=24%, signal=54%","3845/10096/60/10092/5594/71/3688/221178/998/5058/5154/54434/6093/9138/10672/10788"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",26,-0.618383305857254,-2.09835831055186,0.000136967271996572,0.00378065169787514,0.00249427725063667,329,"tags=65%, list=26%, signal=50%","4731/3845/847/5594/51079/7388/2885/3091/1337/2053/3551/126328/29796/1347/7384/27089/6392"
"hsa03010","Ribosome",24,0.615103802444151,2.05579869729222,0.00015974584638909,0.00378065169787514,0.00249427725063667,236,"tags=54%, list=18%, signal=45%","6209/6203/6201/219927/2197/6183/6189/64432/64969/6227/6176/4736/6182"
"hsa05135","Yersinia infection",19,-0.668620869337158,-2.08416822345162,0.00022434205903038,0.00398207154778924,0.00262716358601366,289,"tags=68%, list=23%, signal=54%","10096/60/10092/5594/71/2212/3688/998/5585/3551/7456/6093/9138"
"hsa04024","cAMP signaling pathway",18,-0.672637364969245,-2.05821220035498,0.000208748710589267,0.00398207154778924,0.00262716358601366,259,"tags=50%, list=20%, signal=40%","476/5594/51/5058/6093/1385/135/5908/1258"
"hsa00190","Oxidative phosphorylation",16,-0.694374941909933,-2.04468982055018,0.00033976450039277,0.00536072878397482,0.00353672988712942,252,"tags=62%, list=20%, signal=51%","9296/51079/7388/1337/126328/29796/1347/7384/27089/6392"
"hsa04110","Cell cycle",21,0.628426560973926,2.04301176779688,0.000440663664126567,0.00625742403059725,0.0041283227481331,327,"tags=52%, list=25%, signal=40%","113130/4089/9212/246184/5885/8556/8243/6502/7043/7531/5934"
