entity_id,label,embedding_value,direction
2778,Protein_NXF1,11034146816.0,positive
2686,Protein_MOV10,8578322944.0,positive
2723,Protein_MYC,6994983936.0,positive
93,GO_0006351_instance,4832728064.0,positive
332,GO_0045087_instance,4552086016.0,positive
472,GO_0140546_instance,4220611840.0,positive
449,GO_0098542_instance,4041946112.0,positive
195,GO_0016070_instance,4024944896.0,positive
440,GO_0090304_instance,3983172096.0,positive
402,GO_0051707_instance,3934216448.0,positive
2497,Protein_GRB2,-9998381056.0,negative
2958,Protein_REPS2,-7726659584.0,negative
2241,Protein_CD164,-6013404160.0,negative
2313,Protein_COX6A1,-5875726336.0,negative
2834,Protein_PIK3R1,-5571141120.0,negative
2208,Protein_C21orf91,-5395611648.0,negative
2214,Protein_CALM3,-5003809792.0,negative
2550,Protein_IL2RG,-4815360512.0,negative
2144,Protein_ASAP1,-4793316864.0,negative
2463,Protein_FYN,-4752574976.0,negative
