entity_id,label,embedding_value,direction
9107,Sample_GSM1317954,3150525184.0,positive
1575,Pathway_R-HSA-8865999,2840141056.0,positive
9205,Sample_GSM1318052,2834864384.0,positive
1592,Pathway_R-HSA-8875656,2807883776.0,positive
5784,Reaction_R-HSA-5633314,2773346560.0,positive
9067,Sample_GSM1317914,2713189632.0,positive
1777,Pathway_R-HSA-9629569,2573502464.0,positive
1713,Pathway_R-HSA-9028335,2192523264.0,positive
1558,Pathway_R-HSA-8851907,2186295552.0,positive
1306,Pathway_R-HSA-5654720,2178513664.0,positive
2497,Protein_GRB2,-25786783744.0,negative
2686,Protein_MOV10,-16013416448.0,negative
2328,Protein_CTNNB1,-12648370176.0,negative
2778,Protein_NXF1,-10752115712.0,negative
2834,Protein_PIK3R1,-10691883008.0,negative
2463,Protein_FYN,-9885929472.0,negative
3053,Protein_SHC1,-8606432256.0,negative
2643,Protein_MAPK1,-7735534592.0,negative
2569,Protein_ITGB1,-7424607232.0,negative
3082,Protein_SMAD4,-7057637888.0,negative
