entity_id,label,embedding_value,direction
9067,Sample_GSM1317914,9068214272.0,positive
9064,Sample_GSM1317911,7724060672.0,positive
9107,Sample_GSM1317954,7515021824.0,positive
9205,Sample_GSM1318052,7135561216.0,positive
9072,Sample_GSM1317919,6692443136.0,positive
9149,Sample_GSM1317996,6448092672.0,positive
9075,Sample_GSM1317922,6426964992.0,positive
9055,Sample_GSM1317902,6176819712.0,positive
9069,Sample_GSM1317916,5998795264.0,positive
9052,Sample_GSM1317899,5894135808.0,positive
2497,Protein_GRB2,-28764585984.0,negative
2686,Protein_MOV10,-27413815296.0,negative
2778,Protein_NXF1,-25808263168.0,negative
2723,Protein_MYC,-16364715008.0,negative
2328,Protein_CTNNB1,-11126641664.0,negative
3053,Protein_SHC1,-10206418944.0,negative
2253,Protein_CDC42,-8779116544.0,negative
2179,Protein_BARD1,-8658186240.0,negative
2643,Protein_MAPK1,-8569856000.0,negative
2463,Protein_FYN,-8208027136.0,negative
