entity_id,label,embedding_value,direction
9177,Sample_GSM1318024,3704273408.0,positive
0,GO_0000086_instance,2737142272.0,positive
332,GO_0045087_instance,2416330752.0,positive
472,GO_0140546_instance,2264578048.0,positive
449,GO_0098542_instance,2142020608.0,positive
402,GO_0051707_instance,2120956928.0,positive
120,GO_0006952_instance,2118882304.0,positive
307,GO_0043207_instance,2095960320.0,positive
326,GO_0044419_instance,2005289088.0,positive
108,GO_0006511_instance,1913134720.0,positive
2497,Protein_GRB2,-25674772480.0,negative
2328,Protein_CTNNB1,-11425872896.0,negative
2834,Protein_PIK3R1,-10011539456.0,negative
2463,Protein_FYN,-8363987456.0,negative
3053,Protein_SHC1,-7768487424.0,negative
2643,Protein_MAPK1,-7171433472.0,negative
2569,Protein_ITGB1,-6338341376.0,negative
2600,Protein_KRAS,-6076740608.0,negative
3082,Protein_SMAD4,-5410130432.0,negative
2818,Protein_PDGFA,-5383890432.0,negative
