entity_id,label,embedding_value,direction
9067,Sample_GSM1317914,2693602816.0,positive
7815,Reaction_R-HSA-9629591,2661637632.0,positive
286,GO_0035556_instance,2480378368.0,positive
133,GO_0007165_instance,1810698624.0,positive
93,GO_0006351_instance,1649538176.0,positive
367,GO_0050794_instance,1598691584.0,positive
416,GO_0065007_instance,1389455488.0,positive
365,GO_0050789_instance,1387286272.0,positive
440,GO_0090304_instance,1359450240.0,positive
2383,Protein_DRG1,1320247552.0,positive
2497,Protein_GRB2,-8648491008.0,negative
2723,Protein_MYC,-4615138304.0,negative
3137,Protein_SUMO1,-4317562368.0,negative
2463,Protein_FYN,-4246441472.0,negative
2328,Protein_CTNNB1,-3825472768.0,negative
1575,Pathway_R-HSA-8865999,-3691778304.0,negative
1592,Pathway_R-HSA-8875656,-3677938432.0,negative
2253,Protein_CDC42,-3618079232.0,negative
3082,Protein_SMAD4,-3232802816.0,negative
303,GO_0043161_instance,-2984920064.0,negative
