entity,entity_name,num_biomarkers,biomarkers,definition
GO_0110165_instance,cellular anatomical structure,12,"RIOX2,CUBN,RASSF5,RANBP9,LEPR",A part of a cellular organism consisting of a material entity with granularity above the level of a protein complex but below that of an anatomical system. Note that cellular organisms exclude viruses.
GO_0009987_instance,cellular process,12,"RIOX2,CUBN,RASSF5,RANBP9,LEPR","Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO_0043231_instance,intracellular membrane-bounded organelle,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO_0005622_instance,intracellular anatomical structure,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4",A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm.
GO_0043227_instance,membrane-bounded organelle,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO_0043229_instance,intracellular organelle,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4","Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO_0043226_instance,organelle,11,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4","Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."
GO_0005488_instance,binding,11,"RIOX2,CUBN,RASSF5,RANBP9,LEPR","The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."
GO_0008152_instance,metabolic process,11,"RIOX2,CUBN,RASSF5,RANBP9,LEPR","A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation."
GO_0044238_instance,primary metabolic process,10,"RIOX2,CUBN,RASSF5,RANBP9,LEPR","The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO_0051179_instance,localization,10,"CUBN,RASSF5,LEPR,PDIA4,CCDC91","Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."
GO_0005515_instance,protein binding,10,"RIOX2,CUBN,RASSF5,RANBP9,LEPR",Binding to a protein.
GO_0005737_instance,cytoplasm,10,"RIOX2,CUBN,RASSF5,RANBP9,PDIA4","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
GO_0065007_instance,biological regulation,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3","Any process that modulates a measurable attribute of any biological process, quality or function."
GO_0050794_instance,regulation of cellular process,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3","Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO_0019222_instance,regulation of metabolic process,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO_0050789_instance,regulation of biological process,9,"RIOX2,RASSF5,RANBP9,LEPR,NMD3","Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
GO_0051641_instance,cellular localization,9,"CUBN,RASSF5,PDIA4,CCDC91,NMD3","A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."
GO_0016020_instance,membrane,9,"CUBN,RANBP9,LEPR,CCDC91,NMD3",A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.
GO_0051234_instance,establishment of localization,9,"CUBN,LEPR,PDIA4,CCDC91,NMD3","Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."
