feature,importance
Feature_4,41585963222955.3
Feature_99,29194572950545.188
Feature_95,27732482519001.594
Feature_56,15140798866057.055
Feature_44,13599415357417.236
Feature_26,13105308760584.283
Feature_33,11748831284120.146
Feature_14,8606466561552.856
Feature_90,6293376465195.703
Feature_54,6089456220329.0205
Feature_78,6069737618765.081
Feature_86,4903933697567.171
Feature_40,4075223299587.124
Feature_77,3805144164721.894
Feature_76,3663618056758.394
Feature_81,3285869655533.348
Feature_8,3227488758419.7876
Feature_51,2632761143699.3076
Feature_93,2348693721833.6694
Feature_69,1936540795762.5354
Feature_0,1902661578705.0012
Feature_98,1711390513249.2822
Feature_34,1314873633692.8645
Feature_18,1189270745040.2178
Feature_67,737198802214.7604
Feature_47,714797122222.8712
Feature_97,495296403988.3376
Feature_66,436781036044.222
Feature_13,411013048178.5132
Feature_25,398718105225.7689
Feature_48,381902456484.432
Feature_39,375568190301.8568
Feature_32,303624399644.7983
Feature_17,261584336609.8589
Feature_42,246560300750.22845
Feature_10,223725158871.49377
Feature_55,146170898340.24063
Feature_94,138766510602.88364
Feature_96,118147735796.3905
Feature_92,28207880832.89179
Feature_49,27924801670.867966
Feature_74,0.0
Feature_11,0.0
Feature_75,0.0
Feature_5,0.0
Feature_9,0.0
Feature_72,0.0
Feature_71,0.0
Feature_70,0.0
Feature_12,0.0
