model_path,model_type,dataset,version,test_accuracy,status,mean_abs_shap,top_feature,top_importance
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/random_forest_Complex_protein_embeddings_gridsearch_model.joblib,random_forest,Complex_protein_embeddings,v2.11,0.8787878787878788,success,0.003436362296280209,Feature_177,0.030634657731758944
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/random_forest_RGCN_protein_embeddings_gridsearch_model.joblib,random_forest,RGCN_protein_embeddings,v2.11,0.7878787878787878,success,0.0061940611456493145,Feature_93,0.041357190973639886
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/random_forest_concatenated_protein_embeddings_gridsearch_model.joblib,random_forest,concatenated_protein_embeddings,v2.11,0.7878787878787878,success,0.002234985292186382,Feature_207,0.022839865909067867
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/sklearn_mlp_Complex_protein_embeddings_gridsearch_model.joblib,sklearn_mlp,Complex_protein_embeddings,v2.11,0.5757575757575758,success,0.002546828948623651,Feature_161,0.05136781261236628
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/sklearn_mlp_RGCN_protein_embeddings_gridsearch_model.joblib,sklearn_mlp,RGCN_protein_embeddings,v2.11,0.696969696969697,success,0.006247392231163201,Feature_86,0.09089248460950176
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/sklearn_mlp_concatenated_protein_embeddings_gridsearch_model.joblib,sklearn_mlp,concatenated_protein_embeddings,v2.11,0.45454545454545453,success,0.0017916334223184753,Feature_95,0.04478576923727277
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/svm_Complex_protein_embeddings_gridsearch_model.joblib,svm,Complex_protein_embeddings,v2.11,0.6060606060606061,success,0.24744304391887456,Feature_73,5.628357082531232
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/svm_RGCN_protein_embeddings_gridsearch_model.joblib,svm,RGCN_protein_embeddings,v2.11,0.5757575757575758,success,9.3679514062739,Feature_4,162.4853908356715
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/svm_concatenated_protein_embeddings_gridsearch_model.joblib,svm,concatenated_protein_embeddings,v2.11,0.5757575757575758,success,2.9234160440366654,Feature_4,165.51970237035434
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/xgboost_Complex_protein_embeddings_gridsearch_model.joblib,xgboost,Complex_protein_embeddings,v2.11,0.5757575757575758,success,0.002280434608594188,Feature_107,0.11097927346813063
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/xgboost_RGCN_protein_embeddings_gridsearch_model.joblib,xgboost,RGCN_protein_embeddings,v2.11,0.8181818181818182,success,0.005315576505877758,Feature_63,0.09565691915240228
/mnt/c/Users/user/Desktop/projects/M2/DL/dump/v2.11_minmax/xgboost_concatenated_protein_embeddings_gridsearch_model.joblib,xgboost,concatenated_protein_embeddings,v2.11,0.5454545454545454,success,0.0014881641151297165,Feature_207,0.08029580968138086
