feature,top_entity,top_entity_score,importance
Feature_59,Protein_RIOX2,34.86905288696289,0.0006806924337557
Feature_55,Protein_RASSF5,33.85612487792969,0.0023738677106221
Feature_49,Protein_TMEM128,32.66533279418945,0.000355136574959
Feature_32,Protein_PRR13,31.98018455505371,0.0116222447408145
Feature_73,Protein_ERBIN,29.825578689575195,0.0049931290119744
Feature_44,Protein_RIOX2,28.488012313842773,0.001063798583424
Feature_12,Protein_NAA16,28.473289489746094,0.0018398663030969
Feature_47,Protein_GNMT,26.885377883911133,0.0002552556546616
Feature_53,Protein_BRI3BP,26.448688507080078,0.0127430051880168
Feature_57,Protein_RASSF5,25.792348861694336,0.000302745677854
Feature_17,Protein_LMNB2,24.435197830200195,0.0014702549006005
Feature_78,Protein_ADAMTSL4,23.534549713134766,0.0078451457943612
Feature_1,Protein_ZBTB2,22.84899139404297,0.0003040386006747
Feature_41,Protein_BRI3BP,21.752582550048828,0.0527183281379631
