entity_id,label,embedding_value,direction
9071,Sample_GSM1317902,134088432.0,positive
9152,Sample_GSM1317983,117162032.0,positive
9223,Sample_GSM1318054,114944160.0,positive
9224,Sample_GSM1318055,109751400.0,positive
9227,Sample_GSM1318058,109098336.0,positive
9078,Sample_GSM1317909,105557120.0,positive
9222,Sample_GSM1318053,98937112.0,positive
9124,Sample_GSM1317955,94496424.0,positive
9219,Sample_GSM1318050,91804424.0,positive
9072,Sample_GSM1317903,90270976.0,positive
2606,Protein_KRAS,-25440114688.0,negative
2503,Protein_GRB2,-6723833856.0,negative
2840,Protein_PIK3R1,-6183410688.0,negative
2334,Protein_CTNNB1,-5036829696.0,negative
2771,Protein_NRG1,-4769083392.0,negative
2729,Protein_MYC,-4755308544.0,negative
3127,Protein_STAT1,-4232512768.0,negative
3059,Protein_SHC1,-4154460160.0,negative
3129,Protein_STAT5A,-3892741632.0,negative
3100,Protein_SNW1,-3780398336.0,negative
