entity_id,label,embedding_value,direction
2514,Protein_H4C3,1436298112.0,positive
3127,Protein_STAT1,1330706560.0,positive
3129,Protein_STAT5A,957985984.0,positive
3059,Protein_SHC1,950756160.0,positive
1408,Pathway_R-HSA-6803211,849917568.0,positive
2310,Protein_COL7A1,815217408.0,positive
9152,Sample_GSM1317983,672122432.0,positive
3143,Protein_SUMO1,624021952.0,positive
238,GO_0030154_instance,615641088.0,positive
9071,Sample_GSM1317902,613435072.0,positive
2606,Protein_KRAS,-19341395968.0,negative
2729,Protein_MYC,-6602285056.0,negative
2649,Protein_MAPK1,-5173083136.0,negative
2771,Protein_NRG1,-4169630720.0,negative
2259,Protein_CDC42,-2957789440.0,negative
2990,Protein_RNF4,-2836715520.0,negative
2332,Protein_CTBP2,-2576437248.0,negative
2905,Protein_PSMB5,-2350788608.0,negative
2406,Protein_EFTUD2,-2162323200.0,negative
3096,Protein_SNAP23,-2016965888.0,negative
