feature,importance
Feature_177,0.030634657731758944
Feature_59,0.023439214711682144
Feature_108,0.01857350382514893
Feature_151,0.017603114154464878
Feature_107,0.01723272965363192
Feature_10,0.01701960531761193
Feature_145,0.013187466191699903
Feature_167,0.012621245395972435
Feature_130,0.012460717358680663
Feature_128,0.011355008509137803
Feature_182,0.010522585695032364
Feature_57,0.009727071554051751
Feature_103,0.009572485425342109
Feature_105,0.008746784822912525
Feature_4,0.008589453840849963
Feature_22,0.008365824690309533
Feature_125,0.008286720011352264
Feature_3,0.008060312840251134
Feature_126,0.008049828401567915
Feature_27,0.00794402748332898
Feature_17,0.007856008741450718
Feature_116,0.007773238681772432
Feature_53,0.0073290780360497874
Feature_73,0.007114795244801232
Feature_6,0.007103865954178371
Feature_87,0.00684392154703908
Feature_28,0.0066864695565754355
Feature_44,0.006423882980837745
Feature_143,0.0062901243313535455
Feature_106,0.006288598854168341
Feature_38,0.006283042232439717
Feature_47,0.006186913219165045
Feature_92,0.006175482405456838
Feature_82,0.00589758756278398
Feature_155,0.005849072060729819
Feature_148,0.005708651020501467
Feature_78,0.005543539519445176
Feature_77,0.0053662864854388224
Feature_16,0.0053489524250372854
Feature_150,0.0051838226374539284
Feature_189,0.005182957484210147
Feature_141,0.005004916673933112
Feature_104,0.004908082686549571
Feature_36,0.004824992864177881
Feature_123,0.004820063621693392
Feature_118,0.0048033342355778205
Feature_29,0.004798529538614558
Feature_96,0.004780320062902247
Feature_183,0.004718881793917567
Feature_199,0.004549206477425895
