"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05132","Salmonella infection",33,-0.642633663449592,-2.5297080846619,4.51593672410639e-09,6.41263014823107e-07,1.66376616151288e-07,340,"tags=91%, list=26%, signal=69%","581/5585/23265/23118/84516/10671/5058/71/841/5788/60/1434/1639/27072/8737/929/5594/7277/7186/5868/3551/2597/1499/10092/10096/51143/4609/1785/9367/998"
"hsa05171","Coronavirus disease - COVID-19",20,-0.724982571374919,-2.55626484097141,4.66027701247024e-08,3.30879667885387e-06,8.58472081244519e-07,324,"tags=95%, list=25%, signal=72%","23118/5610/9641/2197/6201/6772/5594/4736/6176/5295/3551/6189/9636/6203/6227/5579/103/6209/2212"
"hsa05164","Influenza A",21,-0.683616537704742,-2.43786480468158,2.20510401116053e-07,1.04374923194932e-05,2.70802246984627e-06,298,"tags=86%, list=23%, signal=67%","8106/5610/9641/71/23633/637/841/60/5371/6772/5594/5295/3665/3551/10482/8766/5579/103"
"hsa05100","Bacterial invasion of epithelial cells",13,-0.765084127041133,-2.40779952520942,1.01161020723292e-06,2.25851536207189e-05,5.8597507540783e-06,250,"tags=85%, list=19%, signal=69%","71/3688/60/6464/5295/1499/10092/10096/1785/998/1213"
"hsa04517","IgSF CAM signaling",25,-0.627465481038896,-2.32886887760291,7.88006331559618e-07,2.25851536207189e-05,5.8597507540783e-06,288,"tags=76%, list=22%, signal=60%","5058/50848/71/3688/5062/60/5170/81/5594/7277/5295/1499/4690/10092/10096/4155/5908/5579/998"
"hsa05131","Shigellosis",29,-0.605751475086841,-2.31696345021412,1.11335264327488e-06,2.25851536207189e-05,5.8597507540783e-06,444,"tags=86%, list=35%, signal=58%","9474/6093/8678/3099/581/23118/7323/71/3688/60/7321/6199/8737/81/929/5594/7336/7186/5295/3551/10092/10096/7307/55072/998"
"hsa05165","Human papillomavirus infection",32,-0.579230491083094,-2.26394351401943,8.16011824774821e-07,2.25851536207189e-05,5.8597507540783e-06,286,"tags=72%, list=22%, signal=57%","5610/9641/1452/3688/841/1108/5315/6009/6199/5734/5743/6772/5594/5295/3659/3551/1499/3845/1385/5516/1027/9636/998"
"hsa04012","ErbB signaling pathway",14,-0.726244211773945,-2.32996868955884,1.6691031442187e-06,2.64570922233952e-05,6.86433082148873e-06,300,"tags=93%, list=23%, signal=72%","6776/5058/3084/5062/6199/6464/5594/5295/4690/3845/1027/5579/4609"
"hsa05200","Pathways in cancer",49,-0.494143221952677,-2.06094996851096,1.67685795782082e-06,2.64570922233952e-05,6.86433082148873e-06,429,"tags=73%, list=33%, signal=51%","6093/7043/581/3091/808/5366/3561/6502/6776/1164/83593/1488/637/3688/841/6199/5734/5743/5371/4149/6688/6772/5594/7186/613/5295/3551/1499/3845/4089/2793/1027/7170/5579/4609/998"
"hsa05160","Hepatitis C",22,-0.638615337660106,-2.30648491498849,1.88480177456654e-06,2.67641851988448e-05,6.94400653787671e-06,286,"tags=77%, list=22%, signal=61%","5610/9641/637/841/8737/6772/10971/5594/7531/7186/5295/3665/3551/1499/3845/5516/4609"
