"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa01100","Metabolic pathways",112,-0.51806843396687,-2.24465997671078,6.72155440508925e-09,9.54460725522673e-07,7.64134606052251e-07,396,"tags=60%, list=31%, signal=45%","8875/1633/84532/57704/9296/54480/9061/138199/94005/10554/4830/57103/10135/27232/2571/204/847/1738/4124/64781/7360/55312/10327/10555/6392/22908/5153/51109/7841/27089/5743/2597/3705/9791/23530/60496/4245/5150/55748/51079/3418/1347/4713/55904/55256/50484/3034/4548/1337/7388/29956/513/7384/126328/25902/8613/126792/79586/10606/2618/4729/8801/4731/51727/8802/29796/4967"
"hsa03040","Spliceosome",30,-0.684899054014124,-2.32588185336832,8.37961292043166e-07,5.94952517350648e-05,4.76314839687695e-05,267,"tags=70%, list=21%, signal=57%","57187/22916/3183/83443/7919/79753/8896/26121/79228/6625/56259/10285/25949/11157/23451/7307/5093/51690/9416/6426/6428"
"hsa00190","Oxidative phosphorylation",16,-0.773030652039574,-2.21400994478576,1.07164197225756e-05,0.00050724386686858,0.000406095905276551,239,"tags=81%, list=19%, signal=67%","6392/27089/51079/1347/4713/1337/7388/513/7384/126328/4729/4731/29796"
"hsa05415","Diabetic cardiomyopathy",22,-0.646405886994883,-2.01807054227619,0.000144844201770162,0.00514196916284074,0.0041166246818888,239,"tags=68%, list=19%, signal=56%","6392/27089/2597/51079/1347/4713/51660/1337/7388/513/7384/126328/4729/4731/29796"
"hsa04723","Retrograde endocannabinoid signaling",11,-0.784894284059729,-2.04383444204545,0.000201782970477394,0.00557994169108433,0.0044672624361535,195,"tags=82%, list=15%, signal=70%","5743/51079/4713/126328/2793/54331/4729/4731/2790"
"hsa05014","Amyotrophic lateral sclerosis",41,-0.529096071894884,-1.93111318981205,0.000235772184130324,0.00557994169108433,0.0044672624361535,239,"tags=51%, list=19%, signal=43%","6392/60673/27089/10482/51079/1347/4713/1337/7388/10762/3084/513/7384/126328/53371/4729/8021/4731/6428/23511/29796"
"hsa04714","Thermogenesis",28,-0.59487561863144,-1.97453562282292,0.000466340131868099,0.00946004267503857,0.0075736442468804,341,"tags=68%, list=27%, signal=51%","55818/1385/64764/6197/6392/27089/6199/6009/51079/1347/4713/1337/7388/513/7384/126328/4729/4731/29796"
"hsa03013","Nucleocytoplasmic transport",18,-0.655601515076321,-1.94956554889121,0.000822574388582866,0.0146006953973459,0.0116892149956513,330,"tags=61%, list=26%, signal=46%","57187/22916/51808/7919/79228/10482/10762/53371/8021/23511/10921"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",26,-0.581663138477714,-1.89667050088654,0.00111672054060042,0.0176193685294733,0.0141059436707422,297,"tags=69%, list=23%, signal=54%","847/10327/25865/6392/27089/3551/51079/1347/4713/1337/7388/5170/513/7384/126328/4729/4731/29796"
"hsa01200","Carbon metabolism",16,-0.663121968883586,-1.89922434490866,0.00197312327815532,0.0280183505498055,0.0224312962148183,297,"tags=56%, list=23%, signal=44%","847/4200/1738/6392/2597/3418/8801/8802/4967"
"hsa04650","Natural killer cell mediated cytotoxicity",18,0.593390824690868,1.83576618855173,0.00307828029408021,0.0397378001599445,0.0318138059101113,366,"tags=61%, list=29%, signal=44%","2185/637/3845/5530/2534/3804/5295/5579/6464/5594/2215"
